DATE,DEXUSEU
8/29/2017,1.2025
8/30/2017,1.1927
8/31/2017,1.1894
9/1/2017,1.1878
9/4/2017,.
9/5/2017,1.1911
9/6/2017,1.1943
9/7/2017,1.2028
9/8/2017,1.2041
9/11/2017,1.1964
9/12/2017,1.1968
9/13/2017,1.1898
9/14/2017,1.1886
9/15/2017,1.1959
9/18/2017,1.1938
9/19/2017,1.198
9/20/2017,1.1998
9/21/2017,1.1946
9/22/2017,1.1969
9/25/2017,1.1852
9/26/2017,1.1772
9/27/2017,1.1747
9/28/2017,1.1776
9/29/2017,1.1813
10/2/2017,1.1745
10/3/2017,1.1759
10/4/2017,1.176
10/5/2017,1.1706
10/6/2017,1.1732
10/9/2017,.
10/10/2017,1.1804
10/11/2017,1.1847
10/12/2017,1.184
10/13/2017,1.1837
10/16/2017,1.181
10/17/2017,1.1754
10/18/2017,1.1775
10/19/2017,1.1842
10/20/2017,1.177
10/23/2017,1.1762
10/24/2017,1.1766
10/25/2017,1.1802
10/26/2017,1.17
10/27/2017,1.158
10/30/2017,1.1626
10/31/2017,1.1648
11/1/2017,1.1618
11/2/2017,1.1672
11/3/2017,1.1616
11/6/2017,1.16
11/7/2017,1.1577
11/8/2017,1.1591
11/9/2017,1.1648
11/10/2017,.
11/13/2017,1.1656
11/14/2017,1.1764
11/15/2017,1.1794
11/16/2017,1.1772
11/17/2017,1.1799
11/20/2017,1.1741
11/21/2017,1.1741
11/22/2017,1.1789
11/23/2017,.
11/24/2017,1.1936
11/27/2017,1.1911
11/28/2017,1.1878
11/29/2017,1.1858
11/30/2017,1.1898
12/1/2017,1.191
12/4/2017,1.1848
12/5/2017,1.182
12/6/2017,1.1788
12/7/2017,1.179
12/8/2017,1.1761
12/11/2017,1.1802
12/12/2017,1.1725
12/13/2017,1.1762
12/14/2017,1.1778
12/15/2017,1.1778
12/18/2017,1.1804
12/19/2017,1.1822
12/20/2017,1.1881
12/21/2017,1.1872
12/22/2017,1.1839
12/25/2017,.
12/26/2017,1.1867
12/27/2017,1.1902
12/28/2017,1.1952
12/29/2017,1.2022
1/1/2018,.
1/2/2018,1.205
1/3/2018,1.203
1/4/2018,1.2064
1/5/2018,1.2039
1/8/2018,1.1973
1/9/2018,1.1922
1/10/2018,1.1958
1/11/2018,1.2035
1/12/2018,1.213
1/15/2018,.
1/16/2018,1.2244
1/17/2018,1.2229
1/18/2018,1.2238
1/19/2018,1.2238
1/22/2018,1.223
1/23/2018,1.2277
1/24/2018,1.239
1/25/2018,1.2488
1/26/2018,1.2422
1/29/2018,1.2352
1/30/2018,1.239
1/31/2018,1.2428
2/1/2018,1.2482
2/2/2018,1.2446
2/5/2018,1.2418
2/6/2018,1.2381
2/7/2018,1.2281
2/8/2018,1.2238
2/9/2018,1.2226
2/12/2018,1.2267
2/13/2018,1.2363
2/14/2018,1.2396
2/15/2018,1.2482
2/16/2018,1.2442
2/19/2018,.
2/20/2018,1.2348
2/21/2018,1.2314
2/22/2018,1.2326
2/23/2018,1.2298
2/26/2018,1.2296
2/27/2018,1.2239
2/28/2018,1.2211
3/1/2018,1.2216
3/2/2018,1.2314
3/5/2018,1.233
3/6/2018,1.2415
3/7/2018,1.2397
3/8/2018,1.2314
3/9/2018,1.2326
3/12/2018,1.2318
3/13/2018,1.2398
3/14/2018,1.2362
3/15/2018,1.2321
3/16/2018,1.228
3/19/2018,1.2329
3/20/2018,1.2271
3/21/2018,1.2268
3/22/2018,1.231
3/23/2018,1.236
3/26/2018,1.244
3/27/2018,1.241
3/28/2018,1.2351
3/29/2018,1.2297
3/30/2018,1.232
4/2/2018,1.2288
4/3/2018,1.2261
4/4/2018,1.2292
4/5/2018,1.223
4/6/2018,1.2274
4/9/2018,1.232
4/10/2018,1.2338
4/11/2018,1.2384
4/12/2018,1.232
4/13/2018,1.2322
4/16/2018,1.2373
4/17/2018,1.2345
4/18/2018,1.238
4/19/2018,1.2336
4/20/2018,1.2282
4/23/2018,1.2216
4/24/2018,1.2226
4/25/2018,1.2178
4/26/2018,1.2113
4/27/2018,1.2108
4/30/2018,1.2074
5/1/2018,1.2
5/2/2018,1.1968
5/3/2018,1.197
5/4/2018,1.1946
5/7/2018,1.1927
5/8/2018,1.1863
5/9/2018,1.1852
5/10/2018,1.1896
5/11/2018,1.1951
5/14/2018,1.1976
5/15/2018,1.1864
5/16/2018,1.1788
5/17/2018,1.1798
5/18/2018,1.1775
5/21/2018,1.1768
5/22/2018,1.1783
5/23/2018,1.1693
5/24/2018,1.1729
5/25/2018,1.1666
5/28/2018,.
5/29/2018,1.1551
5/30/2018,1.1664
5/31/2018,1.167
6/1/2018,1.1679
6/4/2018,1.1696
6/5/2018,1.1672
6/6/2018,1.1778
6/7/2018,1.1815
6/8/2018,1.1773
6/11/2018,1.1802
6/12/2018,1.1792
6/13/2018,1.1784
6/14/2018,1.1634
6/15/2018,1.1616
6/18/2018,1.1606
6/19/2018,1.1577
6/20/2018,1.1592
6/21/2018,1.16
6/22/2018,1.163
6/25/2018,1.1694
6/26/2018,1.1675
6/27/2018,1.1588
6/28/2018,1.1582
6/29/2018,1.1677
7/2/2018,1.1604
7/3/2018,1.1653
7/4/2018,.
7/5/2018,1.1697
7/6/2018,1.1738
7/9/2018,1.1744
7/10/2018,1.1728
7/11/2018,1.1722
7/12/2018,1.1692
7/13/2018,1.1667
7/16/2018,1.171
7/17/2018,1.1664
7/18/2018,1.1645
